epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,237.785,1.82142,2.76385,1.17912,0.72238,0.14185,0.11632,0.06488,1.82403,2.71961,1.20028,0.070061,0.00332656,0.00332656
1,400.333,2.01976,2.90118,1.22729,0.05897,0.45022,0.09158,0.05153,1.97403,3.48589,1.26385,0.0700122,0.00333198,0.00333198
1,225.484,1.82142,2.76385,1.17912,0.72238,0.14185,0.11632,0.06488,1.82403,2.71961,1.20028,0.070061,0.00332656,0.00332656
2,438.06,1.70021,2.35302,1.13018,0.15184,0.17629,0.12282,0.0706,1.84736,2.79683,1.18209,0.0394016,0.00600056,0.00600056
3,643.706,1.60707,2.16645,1.09935,0.19661,0.36095,0.20607,0.12674,1.51253,1.97865,1.06103,0.00808232,0.00801457,0.00801457
4,848.929,1.50296,2.04557,1.05244,0.25359,0.385,0.24013,0.15432,1.40642,1.96237,1.02684,0.00703,0.00703,0.00703
5,1053.93,1.46149,1.92066,1.03528,0.31106,0.33861,0.28093,0.16944,1.42047,1.89166,1.02149,0.00604,0.00604,0.00604
6,1258.72,1.43262,1.78771,1.03048,0.40298,0.43568,0.3632,0.23479,1.3501,1.82306,1.00425,0.00505,0.00505,0.00505
7,1463.48,1.38687,1.72852,1.00099,0.37208,0.55254,0.4252,0.27777,1.28427,1.50482,0.97799,0.00406,0.00406,0.00406
8,1668.78,1.33426,1.62331,0.99165,0.44041,0.51556,0.44598,0.29029,1.27167,1.46473,0.96827,0.00307,0.00307,0.00307
9,1873.77,1.32016,1.53742,0.98441,0.47333,0.53382,0.48276,0.3313,1.21,1.38669,0.95012,0.00208,0.00208,0.00208
10,2078.61,1.2723,1.46062,0.97407,0.46791,0.56766,0.51003,0.35088,1.19104,1.30343,0.94196,0.00109,0.00109,0.00109
1,321.094,1.7807,2.54572,1.0711,0.67519,0.12448,0.12195,0.06841,1.92045,3.10994,1.20227,0.0700622,0.0030152,0.0030152
2,552.968,1.66131,2.20258,1.02606,0.20482,0.32972,0.1691,0.10205,1.58206,2.31507,1.05593,0.0400485,0.00602161,0.00602161
