fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.0,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.0,0.01056,0.01,0.93982,0.00044,3.01664,0.90354,7.52266,0.55079,1.59801,0.01562,0.7,0.47325,0.0,0.09455,0.58005,0.0,0.0,0.0,0.45446,0.0,1.0,0.0,0.0
0.0,0.01056,0.00973,0.93602,0.00044,2.97625,0.90952,7.57304,0.56224,1.62421,0.01567,0.71585,0.47695,0.0,0.09562,0.58584,0.0,0.0,0.0,0.45209,0.0,1.0,0.0,0.0
0.0,0.00981,0.01059,0.94353,0.00045,2.98877,0.8,9.00878,0.48404,1.60921,0.01568,0.71977,0.4808,0.0,0.1,0.34083,0.0,0.0,0.0,0.45694,0.0,1.0,0.0,0.0
0.0,0.01208,0.00973,0.94093,0.00036,2.86093,0.95,9.06752,0.63396,1.66213,0.01567,0.62497,0.47695,0.0,0.09651,0.58584,0.0,0.0,0.0,0.45209,0.0,1.0,0.0,0.0
0.0,0.01056,0.00903,0.97255,0.00041,2.48371,0.95,7.66499,0.55079,1.32238,0.01508,0.7,0.47325,0.0,0.09455,0.63022,0.0,0.0,0.0,0.42434,0.0,0.72688,0.0,0.0
0.0,0.01208,0.00928,0.9368,0.00037,2.83896,0.95,8.76555,0.62018,1.65454,0.01567,0.62103,0.47695,0.0,0.09651,0.59724,0.0,0.0,0.0,0.45209,0.0,1.0,0.0,0.0
0.0,0.00945,0.01,0.95322,0.00041,2.86601,0.95,7.44794,0.54338,1.57998,0.01363,0.7,0.43857,0.0,0.09772,0.53979,0.0,0.0,0.0,0.40361,0.0,0.99037,0.0,0.0
0.0,0.0078,0.01098,0.88924,0.00051,3.01664,0.90354,5.81698,0.50392,2.17344,0.01383,0.76433,0.44228,0.0,0.09378,0.64339,0.0,0.0,0.0,0.46999,0.0,0.81981,0.0,0.0
0.0,0.01205,0.0115,0.91803,0.00044,3.40259,0.79108,5.95584,0.48404,1.43389,0.01466,0.851,0.48584,0.0,0.12258,0.34083,0.0,0.0,0.0,0.41977,0.0,1.0,0.0,0.0
0.0,0.01208,0.01028,0.93982,0.00046,3.00362,0.8031,7.92614,0.50623,1.59801,0.01494,0.67624,0.39152,0.0,0.08948,0.5327,0.0,0.0,0.0,0.5327,0.0,1.0,0.0,0.0
0.0,0.01394,0.00973,0.97965,0.00032,2.94379,0.95,8.7676,0.63396,1.66213,0.01407,0.70412,0.51849,0.0,0.09219,0.50339,0.0,0.0,0.0,0.50497,0.0,1.0,0.0,0.0
0.0,0.01092,0.00969,0.93487,0.00045,2.94945,0.87736,7.61781,0.53827,1.58809,0.01636,0.72941,0.4627,0.0,0.09471,0.5996,0.0,0.0,0.0,0.44468,0.0,1.0,0.0,0.0
0.0,0.00986,0.01053,0.94215,0.00045,3.02504,0.80544,8.85565,0.47529,1.6221,0.01575,0.71396,0.47669,0.0,0.1,0.34205,0.0,0.0,0.0,0.45819,0.0,0.99865,0.0,0.0
0.0,0.01279,0.00929,0.93602,0.00048,3.03953,0.90952,6.9484,0.52231,1.64175,0.01917,0.63203,0.56676,0.0,0.09562,0.66247,0.0,0.0,0.0,0.46509,0.0,1.0,0.0,0.0
0.0,0.01165,0.01112,0.87165,0.00045,3.0821,0.8,7.1191,0.5,1.5,0.01511,0.70942,0.49304,0.0,0.084,0.52503,0.0,0.0,0.0,0.4716,0.0,0.95998,0.0,0.0
0.33372,0.00985,0.01044,0.93228,0.0005,3.0,0.77521,7.36616,0.51449,1.45706,0.01447,0.71616,0.40442,0.0,0.11219,0.54819,0.0,0.0,0.0,0.53479,0.0,0.96682,0.0,0.0
0.32671,0.00996,0.01044,0.92865,0.0005,3.00073,0.77909,7.37754,0.51449,1.45706,0.01447,0.7154,0.40467,0.0,0.11189,0.54819,0.0,0.0,0.0,0.53891,0.0,0.96682,0.0,0.0
0.34975,0.00985,0.0106,0.93424,0.00049,3.02902,0.80015,7.646,0.51668,1.45706,0.01447,0.7177,0.39818,0.0,0.1163,0.55165,0.0,0.0,0.0,0.52833,0.0,0.93462,0.0,0.0
0.31702,0.01034,0.01053,0.95944,0.00049,3.0,0.75258,8.89459,0.51449,1.56466,0.01497,0.6635,0.40574,0.0,0.13066,0.6158,0.0,0.0,0.0,0.49249,0.0,0.91863,0.0,0.0
0.25322,0.00985,0.00894,0.98,0.0005,3.24496,0.77521,5.91753,0.31903,1.71228,0.0133,0.58608,0.40442,0.0,0.11872,0.68985,0.0,0.0,0.0,0.45463,0.0,0.93984,0.0,0.0
